gc_orgID,harmonized_name,nom_harmonisé,legal_title,appellation_légale,preferred_name,nom_préféré,lead_department,ministère_responsable,abbreviation,abreviation,FAA_LGFP,status_statut
2222,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada,Department of Agriculture and Agri-Food,Ministère de l'Agriculture et de l'Agroalimentaire,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada,AAFC,AAC,1,a
2223,Canadian Heritage,Patrimoine canadien,Department of Canadian Heritage,Ministère du Patrimoine canadien,Canadian Heritage,Patrimoine canadien,Canadian Heritage,Patrimoine canadien,PCH,PCH,1,a
2224,"Immigration, Refugees and Citizenship Canada","Immigration, Réfugiés et Citoyenneté Canada",Department of Citizenship and Immigration,Ministère de la Citoyenneté et de l'Immigration,"Immigration, Refugees and Citizenship Canada","Immigration, Réfugiés et Citoyenneté Canada","Immigration, Refugees and Citizenship Canada","Immigration, Réfugiés et Citoyenneté Canada",IRCC,IRCC,1,a
2225,Department of Finance Canada,Ministère des Finances Canada,Department of Finance,Ministère des Finances,Department of Finance Canada,Ministère des Finances Canada,Department of Finance Canada,Ministère des Finances Canada,FIN,FIN,1,a
2226,Fisheries and Oceans Canada,Pêches et Océans Canada,Department of Fisheries and Oceans,Ministère des Pêches et des Océans,Fisheries and Oceans Canada,Pêches et Océans Canada,Fisheries and Oceans Canada,Pêches et Océans Canada,DFO,MPO,1,a
2227,Global Affairs Canada,Affaires mondiales Canada,"Department of Foreign Affairs, Trade and Development","Ministère des Affaires étrangères, du Commerce et du Développement",Global Affairs Canada,Affaires mondiales Canada,Global Affairs Canada,Affaires mondiales Canada,GAC,AMC,1,a
2228,Health Canada,Santé Canada,Department of Health,Ministère de la Santé,Health Canada,Santé Canada,Health Canada,Santé Canada,HC,SC,1,a
2229,Employment and Social Development Canada,Emploi et Développement social Canada,Department of Employment and Social Development,Ministère de l'Emploi et du Développement social,Employment and Social Development Canada,Emploi et Développement social Canada,Employment and Social Development Canada,Emploi et Développement social Canada,ESDC,EDSC,1,a
2230,Crown-Indigenous Relations and Northern Affairs Canada,Relations Couronne-Autochtones et Affaires du Nord Canada,Department of Crown-Indigenous Relations and Northern Affairs,Ministère des Relations Couronne-Autochtones et des Affaires du Nord,Crown-Indigenous Relations and Northern Affairs Canada,Relations Couronne-Autochtones et Affaires du Nord Canada,Crown-Indigenous Relations and Northern Affairs Canada,Relations Couronne-Autochtones et Affaires du Nord Canada,CIRNAC,RCAANC,1,a
2231,"Innovation, Science and Economic Development Canada","Innovation, Sciences et Développement économique Canada",Department of Industry,Ministère de l'Industrie,"Innovation, Science and Economic Development Canada","Innovation, Sciences et Développement économique Canada","Innovation, Science and Economic Development Canada","Innovation, Sciences et Développement économique Canada",ISED,ISDE,1,a
2232,Department of Justice Canada,Ministère de la Justice Canada,Department of Justice,Ministère de la Justice,Department of Justice Canada,Ministère de la Justice Canada,Department of Justice Canada,Ministère de la Justice Canada,JUS,JUS,1,a
2233,National Defence,Défense nationale,Department of National Defence,Ministère de la Défense nationale,National Defence,Défense nationale,National Defence,Défense nationale,DND,MDN,1,a
2234,Natural Resources Canada,Ressources naturelles Canada,Department of Natural Resources,Ministère des Ressources naturelles,Natural Resources Canada,Ressources naturelles Canada,Natural Resources Canada,Ressources naturelles Canada,NRCan,RNCan,1,a
2235,Public Safety Canada,Sécurité publique Canada,Department of Public Safety and Emergency Preparedness,Ministère de la Sécurité publique et de la Protection civile,Public Safety Canada,Sécurité publique Canada,Public Safety Canada,Sécurité publique Canada,PS,SP,1,a
